1,3.3
2,3.3
3,3.19
4,3.2
5,3.2
6,3.2
7,3.3
8,3.21
9,3.14
10,3.08
11,3.18
12,3.18
13,3.18
14,3.39
15,3.4
16,3.43
17,3.44
18,3.54
19,3.54
20,3.54
21,3.54
22,3.63
23,3.53
24,3.56
25,3.42
26,3.42
27,3.42
28,3.25
29,3.14
30,3.24
31,3.33
32,3.34
33,3.34
34,3.34
35,3.27
36,3.34
37,3.41
38,3.39
39,3.26
40,3.26
41,3.26
42,3.2
43,3.3
44,3.29
45,3.3
46,3.19
47,3.19
48,3.19
49,3.19
50,3.23
51,3.34
52,3.29
53,3.27
54,3.27
55,3.27
56,3.42
57,3.46
58,3.49
59,3.48
60,3.54
61,3.54
62,3.54
63,3.53
64,3.63
65,3.57
66,3.54
67,3.57
68,3.57
69,3.57
70,3.64
71,3.71
72,3.72
73,3.74
74,3.89
75,3.89
76,3.89
77,3.98
78,3.96
79,3.97
80,4.01
81,4.01
82,4.01
83,4.01
84,4.08
85,3.99
86,4.08
87,4.03
88,4.03
89,4.03
90,4.03
91,3.97
92,4.07
93,4.0
94,3.94
95,3.98
96,3.98
97,3.98
98,4.18
99,4.08
100,4.07
101,4.11
102,4.21
103,4.21
104,4.21
105,4.23
106,4.19
107,4.24
108,4.23
109,4.38
110,4.38
111,4.38
112,4.33
113,4.27
114,4.25
115,4.19
116,4.16
117,4.16
118,4.16
119,4.28
120,4.3
121,4.31
122,4.28
123,3.98
124,3.98
125,3.98
126,3.93
127,3.88
128,3.86
129,3.87
130,3.9
131,3.9
132,3.9
133,3.87
134,3.93
135,4.03
136,4.01
137,3.89
138,3.89
139,3.89
140,4.1
141,4.13
142,4.16
143,4.15
144,4.15
145,4.15
146,4.15
147,4.15
148,4.19
149,4.15
150,4.12
151,4.02
152,4.02
153,4.02
154,4.0
155,4.0
156,3.99
157,3.93
158,3.79
159,3.79
160,3.79
161,3.85
162,3.77
163,3.74
164,3.73
165,3.76
166,3.76
167,3.76
168,3.78
169,3.9
170,3.93
171,3.9
172,3.85
173,3.85
174,3.85
175,3.81
176,3.77
177,3.72
178,3.73
179,3.57
180,3.57
181,3.57
182,3.52
183,3.58
184,3.54
185,3.54
186,3.52
187,3.52
188,3.52
189,3.65
190,3.69
191,3.69
192,3.64
193,3.61
194,3.61
195,3.61
196,3.67
197,3.69
198,3.67
199,3.66
200,3.78
201,3.78
202,3.78
203,3.71
204,3.68
205,3.7
206,3.68
207,3.59
208,3.59
209,3.59
210,3.49
211,3.48
212,3.46
213,3.44
214,3.39
215,3.39
216,3.39
